comparison,case,batch,group
Microglia,miBrain,211102Tsa,miBrain microglia
Microglia,monoculture,211102Tsa,macrophage
Microglia,invivo,Mathys23,Microglia
Microglia,iPSC,180531Tsa,iPSC
Microglia,iPSC microglia,180531Tsa,iPSC microglia
Pericyte,miBrain,221129Tsa,miBrain pericyte
Pericyte,monoculture,221129Tsa,pericyte
Pericyte,invivo,Mathys23,Pericyte
Pericyte,iPSC,180531Tsa,iPSC
BMEC,miBrain,230105Tsa,miBrain BMEC
BMEC,monoculture,230412Tsa,endos
BMEC,invivo,Mathys23,Endo
BMEC,iPSC,180531Tsa,iPSC
Astrocyte,miBrain,230207TsaA,miBrain astrocyte
Astrocyte,monoculture,230207TsaA,astrocyte
Astrocyte,invivo,Mathys23,Astrocyte
Astrocyte,iPSC,180531Tsa,iPSC
Astrocyte,iPSC astrocyte,180531Tsa,iPSC astrocyte
OPC,miBrain,230308Tsa,miBrain OPC
OPC,monoculture,230308Tsa,mono OPC
OPC,invivo,Mathys23,OPC
OPC,iPSC,180531Tsa,iPSC
Neuron,miBrain,230428Tsa,miBrain neurons
Neuron,monoculture,230428Tsa,neurons
Neuron,invivo,Mathys23,Exc
Neuron,iPSC,180531Tsa,iPSC
Neuron,iPSC neurons,180531Tsa,iPSC neurons
